review_text,rating
was for a work lunch,and
was for a work lunch and,it
was for a work lunch and it,is
was for a work lunch and it is,safe
a,delight
a delight,the
a delight the,is
a delight the is,!
a delight the is !,","
"a delight the is ! ,",warm
"a delight the is ! , warm",","
"a delight the is ! , warm ,",human
venue,with
venue with,outstanding
venue with outstanding,decor
venue with outstanding decor,.
venue with outstanding decor .,attention
venue with outstanding decor . attention,to
venue with outstanding decor . attention to,detail
venue with outstanding decor . attention to detail,is
had,dinner
had dinner,at
had dinner at,the
had dinner at the,and
had dinner at the and,the
had dinner at the and the,food
had dinner at the and the food,was
had dinner at the and the food was,extremely
is,perfect
is perfect,for
is perfect for,me
is perfect for me,because
is perfect for me because,'m
is perfect for me because 'm,always
is perfect for me because 'm always,traveling
is perfect for me because 'm always traveling,via
is,one
is one,very
is one very,big
is one very big,venue
is one very big venue,.
is one very big venue .,welcome
is one very big venue . welcome,and
is one very big venue . welcome and,service
in,there
in there,at
in there at,five
in there at five,.
in there at five .,impression
in there at five . impression,what
in there at five . impression what,a
in there at five . impression what a,great
than,for
than for,","
"than for ,",and
"than for , and",a
"than for , and a",portion
"than for , and a portion",of
"than for , and a portion of",.
"than for , and a portion of .",food
food,and
food and,service
food and service,.
food and service .,venue
food and service . venue,was
food and service . venue was,crowded
food and service . venue was crowded,","
"food and service . venue was crowded ,",but
our,company
our company,here
our company here,today
our company here today,.
our company here today .,was
our company here today . was,abominable
our company here today . was abominable,in
our company here today . was abominable in,every
have,been
have been,wanting
have been wanting,to
have been wanting to,come
have been wanting to come,here
have been wanting to come here,for
have been wanting to come here for,a
have been wanting to come here for a,while
good,","
"good ,",nice
"good , nice",atmosphere
"good , nice atmosphere",","
"good , nice atmosphere ,",amazing
"good , nice atmosphere , amazing",chips
"good , nice atmosphere , amazing chips",!
"good , nice atmosphere , amazing chips !",!
food,","
"food ,",when
"food , when",we
"food , when we",eventually
"food , when we eventually",managed
"food , when we eventually managed",to
"food , when we eventually managed to",order
"food , when we eventually managed to order",","
had,both
had both,breakfast
had both breakfast,(
had both breakfast (,at
had both breakfast ( at,the
had both breakfast ( at the,cafe
had both breakfast ( at the cafe,)
had both breakfast ( at the cafe ),and
a,massive
a massive,fan
a massive fan,of
a massive fan of,","
"a massive fan of ,",great
"a massive fan of , great",quality
"a massive fan of , great quality",meat
"a massive fan of , great quality meat",","
so,this
so this,restaurant
so this restaurant,is
so this restaurant is,in
so this restaurant is in,'s
so this restaurant is in 's,","
"so this restaurant is in 's ,",and
"so this restaurant is in 's , and",not
night,","
"night ,",fairly
"night , fairly",busy
"night , fairly busy",area
"night , fairly busy area",and
"night , fairly busy area and",restaurant
"night , fairly busy area and restaurant",full
"night , fairly busy area and restaurant full",","
great,little
great little,restaurant
great little restaurant,.
great little restaurant .,variety
great little restaurant . variety,on
great little restaurant . variety on,the
great little restaurant . variety on the,menu
great little restaurant . variety on the menu,","
have,joints
have joints,back
have joints back,home
have joints back home,but
have joints back home but,this
have joints back home but this,was
have joints back home but this was,so
have joints back home but this was so,much
used,to
used to,use
used to use,'s
used to use 's,a
used to use 's a,lot
used to use 's a lot,and
used to use 's a lot and,rated
used to use 's a lot and rated,them
was,very
was very,filling
was very filling,and
was very filling and,the
was very filling and the,matcha
was very filling and the matcha,icecream
was very filling and the matcha icecream,dessert
was very filling and the matcha icecream dessert,was
had,walked
had walked,past
had walked past,this
had walked past this,place
had walked past this place,a
had walked past this place a,few
had walked past this place a few,times
had walked past this place a few times,but
ate,only
ate only,ramen
ate only ramen,and
ate only ramen and,drink
ate only ramen and drink,sake
ate only ramen and drink sake,but
ate only ramen and drink sake but,this
ate only ramen and drink sake but this,small
's,been
's been,a
's been a,long
's been a long,time
's been a long time,since
's been a long time since,ate
's been a long time since ate,steak
's been a long time since ate steak,","
booked,a
booked a,table
booked a table,for
booked a table for,our
booked a table for our,meal
booked a table for our meal,.
booked a table for our meal .,choose
booked a table for our meal . choose,from
is,my
is my,second
is my second,trip
is my second trip,to
is my second trip to,in
is my second trip to in,years
is my second trip to in years,and
is my second trip to in years and,it
sliding,windows
sliding windows,are
sliding windows are,a
sliding windows are a,great
sliding windows are a great,addition
sliding windows are a great addition,to
sliding windows are a great addition to,the
sliding windows are a great addition to the,rooftop
have,been
have been,times
have been times,and
have been times and,each
have been times and each,time
have been times and each time,have
have been times and each time have,been
have been times and each time have been,very
'm,used
'm used,to
'm used to,having
'm used to having,to
'm used to having to,queue
'm used to having to queue,in
'm used to having to queue in,and
'm used to having to queue in and,of
late,before
late before,a
late before a,concert
late before a concert,at
late before a concert at,the
late before a concert at the,.
late before a concert at the .,agreed
late before a concert at the . agreed,to
was,there
was there,last
was there last,saturday
was there last saturday,night
was there last saturday night,","
"was there last saturday night ,",loved
"was there last saturday night , loved",the
"was there last saturday night , loved the",food
and,my
and my,partner
and my partner,went
and my partner went,here
and my partner went here,for
and my partner went here for,a
and my partner went here for a,late
and my partner went here for a late,lunch
went,on
went on,a
went on a,late
went on a late,lunch
went on a late lunch,-
went on a late lunch -,maybe
went on a late lunch - maybe,and
went on a late lunch - maybe and,there
was,expecting
was expecting,something
was expecting something,special
was expecting something special,.
was expecting something special .,found
was expecting something special . found,eating
was expecting something special . found eating,a
was expecting something special . found eating a,place
benedict,with
benedict with,ham
benedict with ham,for
benedict with ham for,breakfast
benedict with ham for breakfast,.
benedict with ham for breakfast .,gorgeous
benedict with ham for breakfast . gorgeous,and
benedict with ham for breakfast . gorgeous and,first
area,around
area around,the
area around the,is
area around the is,an
area around the is an,old
area around the is an old,towne
area around the is an old towne,village
area around the is an old towne village,.
had,n't
had n't,been
had n't been,to
had n't been to,for
had n't been to for,some
had n't been to for some,months
had n't been to for some months,having
had n't been to for some months having,been
disappointment,after
disappointment after,being
disappointment after being,regular
disappointment after being regular,for
disappointment after being regular for,more
disappointment after being regular for more,than
disappointment after being regular for more than,years
disappointment after being regular for more than years,","
food,","
"food ,",great
"food , great",location
"food , great location",","
"food , great location ,",awful
"food , great location , awful",service
"food , great location , awful service",.
"food , great location , awful service .",others
go,again
go again,","
"go again ,",had
"go again , had",the
"go again , had the",vegetarian
"go again , had the vegetarian",ravioli
"go again , had the vegetarian ravioli",for
"go again , had the vegetarian ravioli for",main
for,our
for our,third
for our third,time
for our third time,-
for our third time -,last
for our third time - last,time
for our third time - last time,probably
for our third time - last time probably,months
we,had
we had,n't
we had n't,waited
we had n't waited,minutes
we had n't waited minutes,for
we had n't waited minutes for,a
we had n't waited minutes for a,table
we had n't waited minutes for a table,would
here,two
here two,times
here two times,.
here two times .,pizza
here two times . pizza,","
"here two times . pizza ,",very
"here two times . pizza , very",fast
"here two times . pizza , very fast",service
the,atmosphere
the atmosphere,here
the atmosphere here,","
"the atmosphere here ,",reasonably
"the atmosphere here , reasonably",priced
"the atmosphere here , reasonably priced",cocktails
"the atmosphere here , reasonably priced cocktails",","
"the atmosphere here , reasonably priced cocktails ,",(
the,flat
the flat,iron
the flat iron,before
the flat iron before,a
the flat iron before a,theatre
the flat iron before a theatre,visit
the flat iron before a theatre visit,which
the flat iron before a theatre visit which,is
did,n't
did n't,have
did n't have,here
did n't have here,","
"did n't have here ,",but
"did n't have here , but",rated
"did n't have here , but rated",it
"did n't have here , but rated it",","
love,my
love my,pizza
love my pizza,and
love my pizza and,love
love my pizza and love,their
love my pizza and love their,pizza
love my pizza and love their pizza,.
love my pizza and love their pizza .,the
restaurant,is
restaurant is,a
restaurant is a,gem
restaurant is a gem,tucked
restaurant is a gem tucked,away
restaurant is a gem tucked away,from
restaurant is a gem tucked away from,the
restaurant is a gem tucked away from the,hustle
a,lunch
a lunch,","
"a lunch ,",good
"a lunch , good",atmosphere
"a lunch , good atmosphere",","
"a lunch , good atmosphere ,",your
"a lunch , good atmosphere , your",be
"a lunch , good atmosphere , your be",happy
fine,selection
fine selection,of
fine selection of,wines
fine selection of wines,and
fine selection of wines and,clearly
fine selection of wines and clearly,chosen
fine selection of wines and clearly chosen,by
fine selection of wines and clearly chosen by,people
'm,not
'm not,much
'm not much,of
'm not much of,a
'm not much of a,fish
'm not much of a fish,lover
'm not much of a fish lover,but
'm not much of a fish lover but,do
have,visited
have visited,this
have visited this,place
have visited this place,due
have visited this place due,to
have visited this place due to,perfect
have visited this place due to perfect,experience
have visited this place due to perfect experience,of
atmosphere,","
"atmosphere ,",and
"atmosphere , and",service
"atmosphere , and service",class
"atmosphere , and service class",and
"atmosphere , and service class and",style
"atmosphere , and service class and style",guiden
"atmosphere , and service class and style guiden",your
of,us
of us,came
of us came,for
of us came for,food
of us came for food,on
of us came for food on,a
of us came for food on a,night
of us came for food on a night,.
dined,on
dined on,the
dined on the,top
dined on the top,floor
dined on the top floor,.
dined on the top floor .,were
dined on the top floor . were,the
dined on the top floor . were the,tortellini
had,a
had a,family
had a family,luncheon
had a family luncheon,yesterday
had a family luncheon yesterday,at
had a family luncheon yesterday at,the
had a family luncheon yesterday at the,with
had a family luncheon yesterday at the with,my
were,delighted
were delighted,to
were delighted to,have
were delighted to have,such
were delighted to have such,a
were delighted to have such a,lovely
were delighted to have such a lovely,meal
were delighted to have such a lovely meal,and
read,about
read about,this
read about this,opening
read about this opening,","
"read about this opening ,",with
"read about this opening , with",a
"read about this opening , with a",renowned
"read about this opening , with a renowned",chef
to,try
to try,some
to try some,authentic
to try some authentic,fish
to try some authentic fish,and
to try some authentic fish and,chips
to try some authentic fish and chips,while
to try some authentic fish and chips while,we
if,you
if you,are
if you are,a
if you are a,romantic
if you are a romantic,italian
if you are a romantic italian,food
if you are a romantic italian food,this
if you are a romantic italian food this,is
luckily,or
luckily or,the
luckily or the,consistently
luckily or the consistently,excellent
luckily or the consistently excellent,pub
luckily or the consistently excellent pub,food
luckily or the consistently excellent pub food,speaks
luckily or the consistently excellent pub food speaks,for
food,","
"food ,",very
"food , very",good
"food , very good",wine
"food , very good wine",and
"food , very good wine and",an
"food , very good wine and an",unpretentious
"food , very good wine and an unpretentious",atmosphere
visited,the
visited the,in
visited the in,this
visited the in this,week
visited the in this week,for
visited the in this week for,lunch
visited the in this week for lunch,.
visited the in this week for lunch .,away
food,","
"food ,",chilled
"food , chilled",atmosphere
"food , chilled atmosphere",","
"food , chilled atmosphere ,",nice
"food , chilled atmosphere , nice",shame
"food , chilled atmosphere , nice shame",was
"food , chilled atmosphere , nice shame was",they
tge,on
tge on,.
tge on .,were
tge on . were,a
tge on . were a,goup
tge on . were a goup,of
tge on . were a goup of,people
tge on . were a goup of people,.
one,could
one could,do
one could do,better
one could do better,sushi
one could do better sushi,than
one could do better sushi than,asakusa
one could do better sushi than asakusa,!
one could do better sushi than asakusa !,this
beer,here
beer here,.
beer here .,selection
beer here . selection,of
beer here . selection of,ales
beer here . selection of ales,and
beer here . selection of ales and,very
beer here . selection of ales and very,well
my,here
my here,.
my here .,was
my here . was,very
my here . was very,helpful
my here . was very helpful,with
my here . was very helpful with,organisation
my here . was very helpful with organisation,details
what,it
what it,says
what it says,.
what it says .,service
what it says . service,","
"what it says . service ,",decent
"what it says . service , decent",food
"what it says . service , decent food",","
restaurant,","
"restaurant ,",great
"restaurant , great",food
"restaurant , great food",","
"restaurant , great food ,",the
"restaurant , great food , the",ambience
"restaurant , great food , the ambience",is
"restaurant , great food , the ambience is",wonderful
friend,of
friend of,mine
friend of mine,with
friend of mine with,coeliac
friend of mine with coeliac,'s
friend of mine with coeliac 's,was
friend of mine with coeliac 's was,visiting
friend of mine with coeliac 's was visiting,over
in,here
in here,whilst
in here whilst,staying
in here whilst staying,in
in here whilst staying in,to
in here whilst staying in to,watch
in here whilst staying in to watch,the
in here whilst staying in to watch the,place
was,staying
was staying,at
was staying at,the
was staying at the,hotel
was staying at the hotel,next
was staying at the hotel next,door
was staying at the hotel next door,","
"was staying at the hotel next door ,",so
usual,a
usual a,does
usual a does,not
usual a does not,disappoint
usual a does not disappoint,when
usual a does not disappoint when,looking
usual a does not disappoint when looking,for
usual a does not disappoint when looking for,a
were,a
were a,party
were a party,of
were a party of,four
were a party of four,adults
were a party of four adults,who
were a party of four adults who,thoroughly
were a party of four adults who thoroughly,enjoyed
had,booked
had booked,for
had booked for,four
had booked for four,for
had booked for four for,dinner
had booked for four for dinner,on
had booked for four for dinner on,night
had booked for four for dinner on night,after
for,lunch
for lunch,","
"for lunch ,",the
"for lunch , the",quality
"for lunch , the quality",of
"for lunch , the quality of",the
"for lunch , the quality of the",food
"for lunch , the quality of the food",was
three,courses
three courses,and
three courses and,coffee
three courses and coffee,were
three courses and coffee were,a
three courses and coffee were a,real
three courses and coffee were a real,delight
three courses and coffee were a real delight,;
much,you
much you,can
much you can,say
much you can say,about
much you can say about,","
"much you can say about ,",but
"much you can say about , but",the
"much you can say about , but the",staff
were,connecting
were connecting,with
were connecting with,friends
were connecting with friends,for
were connecting with friends for,a
were connecting with friends for a,twilight
were connecting with friends for a twilight,supper
were connecting with friends for a twilight supper,and
people,with
people with,two
people with two,drinks
people with two drinks,and
people with two drinks and,a
people with two drinks and a,meal
people with two drinks and a meal,each
people with two drinks and a meal each,ending
our,visit
our visit,to
our visit to,the
our visit to the,","
"our visit to the ,",this
"our visit to the , this",was
"our visit to the , this was",our
"our visit to the , this was our",choice
suspect,ageism
suspect ageism,was
suspect ageism was,at
suspect ageism was at,work
suspect ageism was at work,when
suspect ageism was at work when,decided
suspect ageism was at work when decided,to
suspect ageism was at work when decided to,go
there,is
there is,ever
there is ever,a
there is ever a,around
there is ever a around,when
there is ever a around when,we
there is ever a around when we,stay
there is ever a around when we stay,in
nice,pub
nice pub,with
nice pub with,great
nice pub with great,food
nice pub with great food,&
nice pub with great food &,beer
nice pub with great food & beer,choices
nice pub with great food & beer choices,.
prepared,``
prepared ``,fast
prepared `` fast,food
prepared `` fast food,''
prepared `` fast food '',(
prepared `` fast food '' (,sandwiches
prepared `` fast food '' ( sandwiches,","
"prepared `` fast food '' ( sandwiches ,",toats
in,for
in for,a
in for a,quick
in for a quick,pint
in for a quick pint,.
in for a quick pint .,selection
in for a quick pint . selection,of
in for a quick pint . selection of,beers
a,good
a good,pizzeria
a good pizzeria,outside
a good pizzeria outside,!
a good pizzeria outside !,-
a good pizzeria outside ! -,the
a good pizzeria outside ! - the,toppings
a good pizzeria outside ! - the toppings,are
try,the
try the,half
try the half,chicken
try the half chicken,and
try the half chicken and,chips
try the half chicken and chips,.
try the half chicken and chips .,on
try the half chicken and chips . on,the
is,a
is a,great
is a great,place
is a great place,to
is a great place to,grab
is a great place to grab,breakfast
is a great place to grab breakfast,or
is a great place to grab breakfast or,lunch
've,been
've been,here
've been here,a
've been here a,few
've been here a few,times
've been here a few times,and
've been here a few times and,it
've been here a few times and it,'s
am,sure
am sure,this
am sure this,restaurant
am sure this restaurant,is
am sure this restaurant is,probably
am sure this restaurant is probably,mostly
am sure this restaurant is probably mostly,very
am sure this restaurant is probably mostly very,good
to,try
to try,their
to try their,pizzas
to try their pizzas,.
to try their pizzas .,flavors
to try their pizzas . flavors,were
to try their pizzas . flavors were,good
to try their pizzas . flavors were good,","
've,had
've had,lunch
've had lunch,here
've had lunch here,many
've had lunch here many,a
've had lunch here many a,time
've had lunch here many a time,but
've had lunch here many a time but,never
ridiculously,small
ridiculously small,portion
ridiculously small portion,sizes
ridiculously small portion sizes,.
ridiculously small portion sizes .,the
ridiculously small portion sizes . the,bangkok
ridiculously small portion sizes . the bangkok,king
ridiculously small portion sizes . the bangkok king,prawn
found,this
found this,pub
found this pub,&
found this pub &,decided
found this pub & decided,on
found this pub & decided on,lunch
found this pub & decided on lunch,but
found this pub & decided on lunch but,whilst
atmosphere,and
atmosphere and,really
atmosphere and really,cool
atmosphere and really cool,jazz
atmosphere and really cool jazz,band
atmosphere and really cool jazz band,in
atmosphere and really cool jazz band in,the
atmosphere and really cool jazz band in the,back
across,this
across this,place
across this place,","
"across this place ,",and
"across this place , and",great
"across this place , and great",find
"across this place , and great find",.
"across this place , and great find .",very
live,quite
live quite,close
live quite close,to
live quite close to,","
"live quite close to ,",so
"live quite close to , so",me
"live quite close to , so me",and
"live quite close to , so me and",a
with,a
with a,voucher
with a voucher,for
with a voucher for,a
with a voucher for a,","
"with a voucher for a ,",best
"with a voucher for a , best",burger
"with a voucher for a , best burger",my
this,restaurant
this restaurant,for
this restaurant for,lunch
this restaurant for lunch,and
this restaurant for lunch and,had
this restaurant for lunch and had,a
this restaurant for lunch and had a,really
this restaurant for lunch and had a really,good
found,the
found the,menu
found the menu,to
found the menu to,be
found the menu to be,very
found the menu to be very,limited
found the menu to be very limited,and
found the menu to be very limited and,expensive
to,for
to for,a
to for a,friends
to for a friends,dinner
to for a friends dinner,.
to for a friends dinner .,a
to for a friends dinner . a,great
to for a friends dinner . a great,surprise
our,first
our first,experience
our first experience,of
our first experience of,but
our first experience of but,also
our first experience of but also,our
our first experience of but also our,last
our first experience of but also our last,.
went,with
went with,my
went with my,sons
went with my sons,and
went with my sons and,my
went with my sons and my,year
went with my sons and my year,old
went with my sons and my year old,wheelchair
went,there
went there,last
went there last,night
went there last night,and
went there last night and,sure
went there last night and sure,im
went there last night and sure im,coming
went there last night and sure im coming,back
had,the
had the,'s
had the 's,dinner
had the 's dinner,at
had the 's dinner at,last
had the 's dinner at last,night
had the 's dinner at last night,","
"had the 's dinner at last night ,",great
gorgeous,authentic
gorgeous authentic,pub
gorgeous authentic pub,","
"gorgeous authentic pub ,",with
"gorgeous authentic pub , with",lovely
"gorgeous authentic pub , with lovely",and
"gorgeous authentic pub , with lovely and",helpful
"gorgeous authentic pub , with lovely and helpful",staff
love,and
love and,.
love and .,food
love and . food,is
love and . food is,always
love and . food is always,amazing
love and . food is always amazing,and
love and . food is always amazing and,fresh
to,this
to this,branch
to this branch,for
to this branch for,a
to this branch for a,late
to this branch for a late,lunch
to this branch for a late lunch,and
to this branch for a late lunch and,now
visited,this
visited this,restaurant
visited this restaurant,for
visited this restaurant for,a
visited this restaurant for a,taste
visited this restaurant for a taste,of
visited this restaurant for a taste of,the
visited this restaurant for a taste of the,famous
had,an
had an,wonderful
had an wonderful,evening
had an wonderful evening,there
had an wonderful evening there,.
had an wonderful evening there .,had
had an wonderful evening there . had,no
had an wonderful evening there . had no,specific
was,expecting
was expecting,something
was expecting something,spicy
was expecting something spicy,but
was expecting something spicy but,delicate
was expecting something spicy but delicate,","
"was expecting something spicy but delicate ,",what
"was expecting something spicy but delicate , what",you
found,this
found this,little
found this little,pub
found this little pub,on
found this little pub on,an
found this little pub on an,overnight
found this little pub on an overnight,visit
found this little pub on an overnight visit,to
pizza,was
pizza was,good
pizza was good,and
pizza was good and,it
pizza was good and it,arrived
pizza was good and it arrived,much
pizza was good and it arrived much,faster
pizza was good and it arrived much faster,than
friends,and
friends and,dined
friends and dined,here
friends and dined here,and
friends and dined here and,were
friends and dined here and were,blown
friends and dined here and were blown,away
friends and dined here and were blown away,by
went,once
went once,in
went once in,this
went once in this,place
went once in this place,with
went once in this place with,my
went once in this place with my,girlfriend
went once in this place with my girlfriend,and
came,here
came here,as
came here as,had
came here as had,read
came here as had read,the
came here as had read the,reviews
came here as had read the reviews,on
came here as had read the reviews on,some
not,speak
not speak,for
not speak for,the
not speak for the,food
not speak for the food,as
not speak for the food as,did
not speak for the food as did,n't
not speak for the food as did n't,eat
for,lunch
for lunch,today
for lunch today,with
for lunch today with,my
for lunch today with my,work
for lunch today with my work,colleagues
for lunch today with my work colleagues,-
for lunch today with my work colleagues -,it
into,this
into this,restaurant
into this restaurant,for
into this restaurant for,lunch
into this restaurant for lunch,with
into this restaurant for lunch with,a
into this restaurant for lunch with a,friend
into this restaurant for lunch with a friend,as
recently,celebrated
recently celebrated,a
recently celebrated a,special
recently celebrated a special,birthday
recently celebrated a special birthday,with
recently celebrated a special birthday with,family
recently celebrated a special birthday with family,and
recently celebrated a special birthday with family and,friends
of,us
of us,ate
of us ate,well
of us ate well,","
"of us ate well ,",sharing
"of us ate well , sharing",the
"of us ate well , sharing the",famous
"of us ate well , sharing the famous",beef
were,a
were a,party
were a party,of
were a party of,nine
were a party of nine,for
were a party of nine for,lunch
were a party of nine for lunch,after
were a party of nine for lunch after,visiting
have,been
have been,eating
have been eating,at
have been eating at,'s
have been eating at 's,thai
have been eating at 's thai,once
have been eating at 's thai once,a
have been eating at 's thai once a,week
visited,this
visited this,restaurant
visited this restaurant,on
visited this restaurant on,a
visited this restaurant on a,evening
visited this restaurant on a evening,after
visited this restaurant on a evening after,reserving
visited this restaurant on a evening after reserving,a
went,with
went with,fish
went with fish,and
went with fish and,chips
went with fish and chips,because
went with fish and chips because,","
"went with fish and chips because ,",when
"went with fish and chips because , when",you
was,here
was here,with
was here with,colleagues
was here with colleagues,from
was here with colleagues from,work
was here with colleagues from work,and
was here with colleagues from work and,guests
was here with colleagues from work and guests,from
warm,and
warm and,attentive
warm and attentive,greeting
warm and attentive greeting,from
warm and attentive greeting from,the
warm and attentive greeting from the,bar
warm and attentive greeting from the bar,staff
warm and attentive greeting from the bar staff,.
came,here
came here,tonight
came here tonight,with
came here tonight with,my
came here tonight with my,&
came here tonight with my &,sister
came here tonight with my & sister,!
came here tonight with my & sister !,had
pub,.
pub .,range
pub . range,of
pub . range of,drinks
pub . range of drinks,/
pub . range of drinks /,beers
pub . range of drinks / beers,.
pub . range of drinks / beers .,was
potatoes,quinoa
potatoes quinoa,and
potatoes quinoa and,cauliflower
potatoes quinoa and cauliflower,curry
potatoes quinoa and cauliflower curry,and
potatoes quinoa and cauliflower curry and,a
potatoes quinoa and cauliflower curry and a,skinny
potatoes quinoa and cauliflower curry and a skinny,decaf
colleagues,and
colleagues and,had
colleagues and had,lunch
colleagues and had lunch,here
colleagues and had lunch here,recently
colleagues and had lunch here recently,while
colleagues and had lunch here recently while,visiting
colleagues and had lunch here recently while visiting,.
food,here
food here,was
food here was,lovely
food here was lovely,","
"food here was lovely ,",however
"food here was lovely , however",the
"food here was lovely , however the",potion
"food here was lovely , however the potion",were
on,and
on and,so
on and so,we
on and so we,just
on and so we just,had
on and so we just had,to
on and so we just had to,try
on and so we just had to try,this
and,loud
and loud,-
and loud -,although
and loud - although,that
and loud - although that,on
and loud - although that on,its
and loud - although that on its,own
and loud - although that on its own,would
had,the
had the,misfortune
had the misfortune,to
had the misfortune to,find
had the misfortune to find,myself
had the misfortune to find myself,in
had the misfortune to find myself in,the
had the misfortune to find myself in the,branch
was,invited
was invited,for
was invited for,to
was invited for to,celebrate
was invited for to celebrate,a
was invited for to celebrate a,wedding
was invited for to celebrate a wedding,part
was invited for to celebrate a wedding part,of
sat,waiting
sat waiting,for
sat waiting for,our
sat waiting for our,food
sat waiting for our food,for
sat waiting for our food for,over
sat waiting for our food for over,half
sat waiting for our food for over half,an
boyfriend,took
boyfriend took,me
boyfriend took me,to
boyfriend took me to,pizza
boyfriend took me to pizza,express
boyfriend took me to pizza express,as
boyfriend took me to pizza express as,a
boyfriend took me to pizza express as a,surprise
love,this
love this,you
love this you,want
love this you want,a
love this you want a,good
love this you want a good,japanese
love this you want a good japanese,meal
love this you want a good japanese meal,under
!,proper
! proper,pizzeria
! proper pizzeria,just
! proper pizzeria just,around
! proper pizzeria just around,the
! proper pizzeria just around the,corner
! proper pizzeria just around the corner,!
! proper pizzeria just around the corner !,place
love,the
love the,and
love the and,so
love the and so,much
love the and so much,my
love the and so much my,friends
love the and so much my friends,have
love the and so much my friends have,asked
go,to
go to,periodically
go to periodically,for
go to periodically for,business
go to periodically for business,","
"go to periodically for business ,",and
"go to periodically for business , and",love
"go to periodically for business , and love",to
'd,all
'd all,had
'd all had,bad
'd all had bad,weeks
